FE_REPORTE,CAMAS_ADULTOS_COVID,CAMAS_ADULTOS_NOCOVID,CAMAS_ADULTOS_OCC,CAMAS_ADULTOS_DISP,CAMAS_ADULTOS_TOTAL,CAMAS_ICU_COVID,CAMAS_ICU_NOCOVID,CAMAS_ICU_OCC,CAMAS_ICU_DISP,CAMAS_ICU_TOTAL,CAMAS_PED_COVID,CAMAS_PED_NOCOVID,CAMAS_PED_OCC,CAMAS_PED_DISP,CAMAS_PED_TOTAL,CAMAS_PICU_COVID,CAMAS_PICU_NOCOVID,CAMAS_PICU_OCC,CAMAS_PICU_DISP,CAMAS_PICU_TOTAL,VENT_ADULTOS_COVID,VENT_ADULTOS_NOCOVID,VENT_ADULTOS_OCC,VENT_ADULTOS_DISP,VENT_ADULTOS_TOTAL,VENT_PED_COVID,VENT_PED_NOCOVID,VENT_PED_OCC,VENT_PED_DISP,VENT_PED_TOTAL,CUARTOS_PRESNEG_OCC,CUARTOS_PRESNEG_DISP,CUARTOS_PRESNEG_TOTAL,VENT_ORD,VENT_REC,VENT_ENTR,CONVALECIENTES
"2021-03-31 00:00:00",212,3659,3871,2888,6759,42,436,478,224,702,17,383,400,813,1213,0,37,37,57,94,28,306,334,904,1238,0,40,40,129,169,249,297,546,194,161,161,94527
"2021-04-01 00:00:00",219,3688,3907,2817,6724,43,449,492,221,713,15,415,430,842,1272,0,34,34,58,92,27,332,359,929,1288,0,40,40,110,150,253,299,552,194,161,161,94703
"2021-04-02 00:00:00",229,3486,3715,2939,6654,43,429,472,238,710,19,409,428,785,1213,0,32,32,59,91,28,329,357,910,1267,0,35,35,115,150,259,307,566,194,161,161,94860
"2021-04-03 00:00:00",228,3308,3536,3087,6623,43,417,460,242,702,22,380,402,817,1219,0,34,34,57,91,27,317,344,940,1284,0,40,40,112,152,230,317,547,194,161,161,94923
"2021-04-04 00:00:00",228,3216,3444,3216,6660,56,432,488,233,721,29,373,402,816,1218,0,33,33,59,92,30,299,329,929,1258,0,40,40,114,154,225,333,558,194,161,161,94931
"2021-04-05 00:00:00",246,3137,3383,3206,6589,56,433,489,228,717,38,336,374,794,1168,2,32,34,57,91,31,313,344,914,1258,0,41,41,117,158,228,322,550,194,161,161,95191
"2021-04-06 00:00:00",269,3246,3515,3026,6541,61,439,500,225,725,35,362,397,838,1235,2,30,32,61,93,37,322,359,893,1252,0,43,43,111,154,258,289,547,194,161,161,95444
"2021-04-07 00:00:00",297,3498,3795,2852,6647,63,443,506,220,726,28,408,436,811,1247,1,33,34,61,95,36,322,358,898,1256,0,41,41,110,151,269,310,579,194,161,161,95694
"2021-04-08 00:00:00",313,3674,3987,2671,6658,63,436,499,223,722,32,414,446,804,1250,1,33,34,61,95,38,325,363,904,1267,0,42,42,106,148,276,297,573,194,161,161,95926
"2021-04-09 00:00:00",321,3724,4045,2577,6622,60,441,501,230,731,26,439,465,807,1272,1,37,38,46,84,30,341,371,877,1248,0,41,41,118,159,286,289,575,194,161,161,96146
"2021-04-10 00:00:00",322,3685,4007,2665,6672,67,442,509,219,728,30,446,476,761,1237,1,37,38,53,91,35,331,366,923,1289,0,46,46,113,159,293,280,573,194,161,161,96253
"2021-04-11 00:00:00",367,3281,3648,2738,6386,73,442,515,218,733,32,412,444,772,1216,1,32,33,62,95,44,302,346,915,1261,0,36,36,114,150,294,294,588,194,161,161,96279
"2021-04-12 00:00:00",364,3273,3637,2840,6477,72,452,524,208,732,23,400,423,774,1197,1,31,32,62,94,43,308,351,903,1254,0,36,36,115,151,307,269,576,194,161,161,96481
"2021-04-13 00:00:00",385,3271,3656,2877,6533,81,452,533,212,745,21,405,426,801,1227,2,30,32,61,93,55,322,377,958,1335,1,39,40,112,152,293,280,573,194,161,161,96806
"2021-04-14 00:00:00",403,3487,3890,2628,6518,87,469,556,199,755,42,369,411,791,1202,4,29,33,61,94,52,355,407,853,1260,3,36,39,110,149,318,265,583,194,161,161,97094
"2021-04-15 00:00:00",418,3605,4023,2586,6609,94,468,562,201,763,43,385,428,808,1236,4,31,35,62,97,60,343,403,859,1262,3,41,44,108,152,309,265,574,194,161,161,97357
"2021-04-16 00:00:00",447,3568,4015,2559,6574,94,468,562,211,773,36,416,452,816,1268,5,29,34,63,97,60,346,406,851,1257,3,38,41,110,151,318,259,577,194,161,161,97679
"2021-04-17 00:00:00",454,3445,3899,2647,6546,92,460,552,203,755,36,454,490,799,1289,4,32,36,52,88,60,348,408,873,1281,2,44,46,104,150,316,258,574,194,161,161,97854
"2021-04-18 00:00:00",463,3222,3685,2697,6382,92,457,549,211,760,46,422,468,732,1200,4,31,35,56,91,65,338,403,845,1248,2,40,42,109,151,312,267,579,194,161,161,97902
"2021-04-19 00:00:00",476,3164,3640,2737,6377,89,449,538,214,752,55,416,471,761,1232,4,37,41,54,95,60,335,395,847,1242,2,39,41,111,152,313,251,564,194,161,161,98464
"2021-04-20 00:00:00",483,3208,3691,2797,6488,94,456,550,215,765,63,332,395,804,1199,4,34,38,54,92,67,342,409,853,1262,2,41,43,106,149,341,244,585,194,161,161,98929
"2021-04-21 00:00:00",500,3385,3885,2568,6453,110,473,583,184,767,51,362,413,802,1215,3,36,39,53,92,70,349,419,832,1251,2,35,37,109,146,337,242,579,194,161,161,99483
"2021-04-22 00:00:00",503,3454,3957,2545,6502,104,472,576,190,766,38,388,426,786,1212,2,39,41,50,91,71,332,403,858,1261,2,39,41,109,150,344,234,578,194,161,161,99844
"2021-04-23 00:00:00",497,3431,3928,2561,6489,99,477,576,190,766,38,393,431,781,1212,1,28,29,59,88,69,325,394,868,1262,1,39,40,111,151,341,238,579,194,161,161,99893
"2021-04-24 00:00:00",501,3394,3895,2562,6457,100,479,579,190,769,43,371,414,785,1199,2,27,29,62,91,70,321,391,916,1307,2,39,41,114,155,338,229,567,194,161,161,100038
"2021-04-25 00:00:00",507,3135,3642,2713,6355,103,458,561,196,757,37,367,404,788,1192,2,34,36,52,88,69,299,368,865,1233,2,37,39,114,153,326,234,560,194,161,161,100121
"2021-04-26 00:00:00",499,2982,3481,2844,6325,111,458,569,204,773,39,352,391,777,1168,2,29,31,56,87,75,317,392,869,1261,2,40,42,108,150,318,234,552,194,161,161,101295
"2021-04-27 00:00:00",520,2957,3477,2885,6362,102,458,560,203,763,38,332,370,817,1187,3,25,28,61,89,66,334,400,873,1273,2,36,38,106,144,326,236,562,194,161,161,102162
"2021-04-28 00:00:00",480,3327,3807,2669,6476,99,433,532,218,750,42,339,381,811,1192,3,29,32,59,91,66,358,424,851,1275,2,42,44,104,148,314,243,557,194,161,161,102971
